Course,Discipline,category,topic,reduced_topic,kmeans
AGRI 1415 Horticulture,Agriculture,Education_General,7,1,3
ANTH-6611: seminar in Applied Anthropology,Anthropology,Education_General,0,0,2
ACM271 - Intro to Arts & Cultural Management,Arts,Humanities,0,0,1
CD115  Design Studio 1,Arts,Humanities,2,2,4
Digital Design Studio,Arts,Humanities,-1,-1,2
BIOSC_3750 General Microbiology,Biology,STEM,-1,-1,1
BI1151 Elements of Microbiology,Biology,STEM,11,5,3
BIOL110 Introduction to Biology,Biology,STEM,-1,-1,1
BIOL110L Introduction to Biology Laboratory,Biology,STEM,3,0,1
Analytics and Information Management courses,Business,Professional,12,1,3
Business,Business,Professional,9,4,2
ChatGPT for Business (MBA590),Business,Professional,7,1,3
J401: Administrative Policy,Business,Professional,3,0,1
MGT 6253 - Leadership & Executive Development,Business,Professional,-1,-1,2
COM 120 Interpersonal Communication,Communication,Education_General,13,6,3
COMM 303: Business and Professional Communication,Communications,Education_General,4,0,3
RHCS 246: Data and Society,Communications,Education_General,-1,-1,3
ENGL 1102: Composition 2,Composition,Humanities,2,2,4
English 111,Composition,Humanities,1,0,0
CIS 130 - Productivity Software,Computer Information Systems,STEM,8,1,3
All computer and data science courses,Computer Science,STEM,5,0,0
Computing & Data Sciences,Computer Science,STEM,12,1,3
CS 412 Algorithms: Design and Analysis,Computer Science,STEM,9,4,2
COSC 426: Natural Langauge Processing,Computer Science,STEM,0,0,1
CSE 3500 Algorithms and Complexity,Computer Science,STEM,0,0,2
CS 601.471/671 NLP: Self-supervised Models  ,Computer Sciences,STEM,2,2,4
CS6750: Human-Computer Interaction; CS7637: Knowledge-Based AI,Computer Sciences,STEM,6,3,2
Data Structures and Algorithms,Computer Sciences,STEM,0,0,1
Criminal Justice Policy; Police & Society,Criminal Justice,Professional,-1,-1,3
Judaism; Jewish Language in the 21st Century,Cultural Studies,Humanities,-1,-1,2
Cybersecurity,Cybersecurity,Professional,0,0,1
IDEM307 Generative AI + Design,Design,Professional,-1,-1,3
ECON 225 Economic Development and Growth,Economics,Professional,12,1,3
Digital Interventions - AI & Education ,Education,Education_General,-1,-1,1
Educational Psychology (EPSY) 822 Instrument Development,Education,Education_General,-1,-1,3
INSTRUCTIONAL METHODS FOR THE MIDDLE AND HIGH SCHOOL ,Education,Education_General,12,1,3
Teaching HASS (Humanities and Social Sciences) Curriculum in Primary School,Education,Education_General,-1,-1,3
Thesis: Neuroscience & Education,Education,Education_General,-1,-1,4
Educación Ambiental FD5043 UCR,Education,Education_General,-1,-1,4
Multiple courses,Education,Education_General,3,0,2
E155: Microprocessor-based Systems,Electrical Engineering,STEM,-1,-1,2
BIOM 1720 Intro to Biomedical Engineering Tools,Engineering,STEM,-1,-1,1
CIE 413,Engineering,STEM,3,0,1
"Engineering, Design, and Social Justice",Engineering,STEM,2,2,4
ENGR 1100 - Fundamentals of Computation,Engineering,STEM,9,4,2
Innovation Design Engineering ,Engineering,STEM,-1,-1,3
BMED2250: Problems in Biomedical Engineering,Engineering,STEM,11,5,3
English 101,English,Humanities,1,0,0
Engl 301: Composition Theory and Practice,English,Humanities,1,0,2
"ENT3503 - Intro to Impact Entrepreneurship, ENT6506 - Intro to Impact Entrepreneurship for Grad students, ENT4934/ENT6930 - Impact Business Consulting Lab, ENT4934/ENT6930 - Strategic Impact Consulting, ENT4934/ENT6930 - Impact Venture Consulting, and ENT4934/ENT6930 - Ignite Impact Philanthropy & Consulting Lab",Entrepreneurship,Professional,0,0,1
ESRM 462: Coastal and Marine Management,Enviromental Science,Education_General,3,0,1
Ocean Justice,Enviromental Science,Education_General,4,0,3
Latin American Film,Film Studies,Humanities,10,3,2
Finance 101 - Money and Banking,Finance,Professional,12,1,3
Financial Accounting,Finance,Professional,7,1,3
Financial Accounting (ACC 010),Finance,Professional,-1,-1,3
COLA 1500 - College Advising Seminar,First Year Seminar,Education_General,0,0,1
First Year Seminar on Sexual Ethics,First Year Seminar,Education_General,5,0,0
First Year Writing,First Year Seminar,Education_General,4,0,3
First-Year Seminar: The Power of Metacognition: Learning to Learn,First Year Seminar,Education_General,0,0,1
INT 111:  Common First Year Seminar:  How Do We Know What We Know?,First Year Seminar,Education_General,-1,-1,2
New Student Experience,First Year Seminar,Education_General,0,0,1
UNIV 112 (Focused Inquiry),First Year Seminar,Education_General,-1,-1,2
"UNIV 200 Advanced Focused Inquiry: Literacies, Research and Communication",First Year Seminar,Education_General,-1,-1,2
"Gender and Technology, Gender as Technology?",Gender Studies,Humanities,-1,-1,3
GEO 395: Geography of Michigan ,Geography,Education_General,11,5,1
"Physical Geography, Urban Geography",Geography,Education_General,5,0,0
GOVT 108: Introduction to International Relations,Government,Education_General,-1,-1,2
Community Health and Wellness,Health,Education_General,2,2,4
CHHS 370 Healthcare Issues,Healthcare,Professional,-1,-1,3
High School,High School,Education_General,11,5,0
CHS History 103,History,Humanities,2,2,0
"HI 371, Baseball as American History",History,Humanities,1,0,2
HIST-103-V03,History,Humanities,9,4,0
History 103,History,Humanities,9,4,0
"Liberal Studies core, History (LBST 210, HIST 220)",History,Humanities,4,0,3
"Modern Russia: culture, politics, & foreign policy",History,Humanities,-1,-1,2
"Rock, Popular Music, and Society",History,Humanities,-1,-1,0
U.S. History,History,Humanities,8,1,3
HNRS480,Honors Course,Education_General,0,0,1
Health and Human Development Courses,Human Services,Professional,4,0,0
SI710 (doctoral) - Professionalization for Advanced Information Career Planning,Information Science,Professional,0,0,1
"LIS 640 - Generative AI: Strategic Application, Evaluation, and Critique",Information Studies,Professional,6,3,2
Effective writing and research in information technology,Information Technology,STEM,4,0,0
DLHE 7305: Introduction to Digital Learning Environments (doctoral level),Instructional Design,Professional,0,0,1
Draft of AI statement for any syllabus,Instructional Design,Professional,6,3,2
"Master's Level Library Media, and Digital Learning Program",Instructional Design,Professional,6,3,1
Building Peace,Interdisciplinary,Education_General,1,0,3
CORE 2096 Digital Literacies and Intercultural Learning,Interdisciplinary,Education_General,-1,-1,3
Human Rights of Indigenous Peoples,Interdisciplinary,Education_General,2,2,4
Introduction to Makerspaces,Interdisciplinary,Education_General,2,2,4
MEA: 3290: Applied Media Analytics,Interdisciplinary,Education_General,9,4,2
Comms,Intro to Human Communication,Education_General,8,1,3
IHJRN101: Media and Society,Journalism - Multimedia,Education_General,-1,-1,3
Misc,Languages,Humanities,0,0,1
SPN320: Spanish Writing and Composition,Languages,Humanities,2,2,4
Reading and Writing in Russian,Languages,Humanities,0,0,2
Advanced Legal Writing,Law,Professional,1,0,2
Artificial Intelligence and Legal Reasoning,Law,Professional,10,3,2
Business Law,Law,Professional,2,2,4
Computer Programming For Lawyers,Law,Professional,3,0,2
PUBL363 Cybersecurity Policy and Law,Law,Professional,0,0,1
INFO 619: INFORMATION & HUMAN RIGHTS,Library and Information Science,Professional,-1,-1,3
BIOL 4293:  Scientific Communication,Life Sciences,STEM,1,0,2
Nutritional Sciences,Life Sciences,STEM,3,0,2
Introduction to Critical Theory,Literature,Humanities,2,2,4
English 2800W Being Human,Literature,Humanities,2,2,4
ENGL 2120: British Literature,Literature,Humanities,2,2,4
English 4412: Studies in Shakespeare,Literature,Humanities,7,1,3
ISTM705: Information Management for Decision Making,Management,Professional,0,0,1
MBA 650 Capstone Strategic Management,Management,Professional,-1,-1,4
MGMT 362  Leadership,Management,Professional,8,1,2
"CBAD 350, Marketing; MKTG 351, Consumer Market Analysis, MKTG 455, Personal Selling and Sales Management",Marketing,Professional,0,0,2
Digital Analytics,Marketing,Professional,0,0,2
Marketing,Marketing,Professional,0,0,1
"Marketing Research, Business Web Design",Marketing,Professional,6,3,2
Social Media Marketing,Marketing,Professional,-1,-1,2
CBAD 350 Marketing,Marketing,Professional,11,5,0
MAT115,Math,STEM,0,0,2
MATH 229 - Calculus 1,Mathematics,STEM,4,0,3
"FMS 139W, FMS291, CLTTHY289",Media Studies,Humanities,1,0,1
Code of Student Rights & Responsibilities,Misc,Education_General,2,2,4
Examples provided for all courses,Misc,Education_General,6,3,2
General use,Misc,Education_General,0,0,2
Institution level course outline template,Misc,Education_General,-1,-1,1
RELE515 - Faith and Flourshing,Misc,Education_General,8,1,2
Sample Course Policies for Syllabus,Misc,Education_General,0,0,1
General use,Misc,Education_General,-1,-1,3
General use,Misc,Education_General,7,1,3
"History of American Music, Music Appreciation",Music,Humanities,5,0,0
Nursing Courses,Nursing,STEM,2,2,4
NUTR SCI 132: Nutrition Today,Nursing,STEM,-1,-1,3
Occupational Therapy Fieldwork,Occupational Therapy,STEM,-1,-1,1
"PHIL 202, Philosophy of Education",Philosophy,Humanities,0,0,1
Philosophy 186B: Later Wittgenstein,Philosophy,Humanities,3,0,2
Theory of Meaning,Philosophy,Humanities,0,0,1
CH 420 - Medicinal Plant Chemistry I,Physical Sciences,STEM,1,0,2
CHEM 449A - Chemistry Capstone,Physical Sciences,STEM,-1,-1,2
"Chemistry (General Chemistry (for majors), Introductory General, Organic, and Biochemistry (for nonmajors), Chemistry and the Environment (for nonscience nonmajors)",Physical Sciences,STEM,2,2,4
United Nations & Globalization,Politics,Education_General,-1,-1,1
PSYC 2331 - Research Methods in Psychology; PSYC 4315 - Cognitive Psychology,Psychology,Education_General,0,0,1
Intro to Cognitive Science,Psychology,Education_General,-1,-1,2
PSYC 1100 - Introduction to Psychology,Psychology,Education_General,2,2,4
PSYC 1105 Critical Thinking for Everyday,Psychology,Education_General,0,0,1
POS 4932 Honors Public Policy Process,Public Policy,Professional,0,0,1
REL 103: Introduction to Religious and Theological Studies,Religious Studies,Humanities,3,0,2
4th Year Introduction to Research Methods Course,Research,Professional,-1,-1,2
Advanced Quantitative Analyses,Research,Professional,8,1,3
AI in Research Optimized Ethically (AIROE),Research,Professional,0,0,1
EDLD 710 Professional as Writer & Researcher,Research,Professional,5,0,0
EDUC 6191: Core Methods in Educational Data Mining,Research,Professional,-1,-1,3
Research Critique,Research Methods,Professional,3,0,3
Research Methods,Research Methods,Professional,1,0,2
Research Methods,Research Methods,Professional,1,0,2
ENGL 430: UX Research Methods,Research Methods,Professional,-1,-1,2
"INFO-645: Advanced Usability Research Methods & Evaluation, ",Research Methods,Professional,-1,-1,3
Intermediate Quantitative Methods for Politics,Research Methods,Professional,0,0,1
Public Policy and Public Administration courses,Social Sciences/Humanities,Education_General,-1,-1,3
HSC 100 Introduction to Social Services and HSC 200 Theories & Methods of Social Services Practices,Social Services,Professional,1,0,0
Social Work,Social Work (Masters level),Professional,0,0,1
Both first-year seminars and sociology courses,Sociology,Education_General,10,3,2
Introduction to Sociology,Sociology,Education_General,-1,-1,4
Sociology (multiple courses),Sociology,Education_General,1,0,0
